Agency Name,Year,Attendance,Rescues - Total,Rescue - Rip,Rescue - Surf,Rescue - Swift,Rescues - Scuba,Rescue - Cliff,Boat Rescues - Rescues,Boat Rescues - Passengers,Boat Rescues - Value,Boat Assists - Rescues,Boat Assists - Passengers,Boat Assists - Value,Prevents,Medical Aids - Total,Medical Aids - Major,Medical Aids - Minor,Drowning Deaths (Unguarded) - Total,Drowning Deaths (Unguarded) - Rip,Drowning Deaths (Unguarded) - Surf,Drowning Deaths (Unguarded) - Scuba,Drowning Deaths (Unguarded) - Drop-Off,Drowning Deaths (Unguarded) - Alc/Drugs,Drowning Deaths (Unguarded) - Ability,Drowning Deaths (Unguarded) - Floatation,Drowning Deaths (Unguarded) - Other,Drowning Deaths (Guarded) - Total,Drowning Deaths (Guarded) - Rip,Drowning Deaths (Guarded) - Surf,Drowning Deaths (Guarded) - Scuba,Drowning Deaths (Guarded) - Drop-Off,Drowning Deaths (Guarded) - Alc/Drugs,Drowning Deaths (Guarded) - Ability,Drowning Deaths (Guarded) - Floatation,Drowning Deaths (Guarded) - Other,Other Fatalities,Enforcements - Warnings,Enforcements - Boat/PWC,Enforcements - Citations,Enforcements - Arrests,Lost/Found,Public Education - Lectures,Public Education - Students,Demographics - Miles Guarded,Demographics - Miles Not Guarded,Demographics - Full-Time Employees,Demographics - Part-Time Employees,Demographics - Jr. Guards,Demographics - Agency Water Is,Demographics - Agency Coverage,Demographics - Avg. Weekday Towers Staffed,Demographics - Avg. Weekend Towers Staffed,Demographics - Avg. Distance Between Tower (yards),Demographics - # Rescue Vehicles,Demographics - Boat < 15,Demographics - Boat 15+,Demographics - PWC,Demographics - Non Motorized Rescue Craft
Ocean City Beach Patrol - MD,2012,4500000,2899,2799,100,0,0,0,1,1,5000,2,6,20000,58705,1568,226,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,225,15795,10.5,0,1,200,null,0,0,92,92,150,18,0,0,4,18
North Myrtle Beach Ocean Rescue,2018,4500000,242,176,66,0,0,0,0,0,0,0,0,0,20274,11067,62,11005,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,185,3,1200,9,0,5,90,96,0,0,40,53,60,10,0,0,3,0
Ocean City Beach Patrol - MD,2017,4500000,2627,2600,27,0,0,0,1,2,8000,0,0,0,136827,1501,178,1323,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,470,225,15795,10,0,1,200,225,0,0,92,92,150,18,0,0,5,18
North Myrtle Beach Ocean Rescue,2019,4500000,68,54,14,0,0,0,4,12,100000,0,0,0,18826,2095,65,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,156,5,1500,9,0,5,100,110,0,0,45,51,60,11,0,0,3,0
Sarasota County Lifeguards,1994,4498446,42,0,0,0,0,0,0,0,0,0,0,0,33237,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,15,300,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Long Beach Marine Safety - CA,1996,4493600,1085,104,981,0,0,0,2045,4365,64719000,0,0,0,28362,1393,440,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25080,0,190,35,151,29,541,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Fort Lauderdale Ocean Rescue,1999,4478436,90,70,20,0,0,0,2,2,16000,700,925,0,52617,3516,84,3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,0,0,88,25,525,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sarasota County Lifeguards,2009,4450207,957,910,42,0,5,0,0,0,0,0,0,0,35186,7600,204,7396,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9897,1586,0,0,391,12,160,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Huntington Beach Marine Safety,1986,4446671,999,0,0,0,0,0,10,37,96500,0,0,0,10478,885,885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,12,3600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Laguna Beach Marine Safety,2012,4435050,2835,1550,1157,0,128,3,0,0,0,0,0,0,121620,3960,149,3811,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68915,0,0,0,0,15,450,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sarasota County Lifeguards,2020,4432187,178,152,26,0,0,0,0,0,0,0,0,0,47456,6567,107,6460,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1322,0,0,0,387,3,45,3.5,34,31,0,null,0,0,7,7,120,12,1,0,3,0
Brevard County Ocean Rescue,2017,4414598,420,330,90,0,0,0,2,4,20000,0,0,0,54438,2443,122,2321,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1000,2.77,36.74,17,100,null,0,0,25,25,100,15,0,0,4,9
Pinellas County Lifeguards,2009,4400000,12,0,12,0,0,0,0,0,0,3,10,15000,1350,920,82,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,900,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pinellas County Lifeguards,2003,4400000,8,0,8,0,0,0,0,0,0,0,0,0,1365,994,64,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,30,900,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,1992,4371028,1172,0,0,0,0,0,28,0,863200,0,64,0,67717,940,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,60,15000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pinellas County Lifeguards,2018,4365722,57,0,0,0,0,0,0,0,0,0,0,0,1621,432,60,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1397,1397,3.5,2.5,12,15,null,0,0,5,9,150,4,0,0,0,15
Long Beach Marine Safety - CA,1995,4360000,945,60,701,15,0,0,2657,4201,51840639,0,0,0,27560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,184,28,152,38,760,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,2019,4346048,1921,0,0,0,0,0,19,0,0,0,0,0,80096,3315,459,2856,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56473,0,0,0,253,1206,0,3.7,0,7,80,800,0,0,16,16,300,7,1,1,5,2
Sarasota County Lifeguards,2005,4321023,49,31,18,0,0,0,0,0,0,133,0,0,29138,5373,38,5335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9697,741,0,0,345,18,500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Laguna Beach Marine Safety,2011,4315450,2446,1308,1067,0,35,0,36,0,0,0,0,0,123759,4316,176,4140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79143,0,0,0,119,17,425,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Hollywood Ocean Lifeguards,2000,4309120,84,67,17,0,0,0,3,9,60000,15,45,300000,54417,3525,79,3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7237,0,0,0,108,12,600,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,2003,4297805,2004,0,0,0,0,0,15,79,101000,0,0,0,61414,1195,95,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11185,236,0,0,358,58,2202,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Santa Rosa Island Authority,2003,4268000,291,197,94,0,0,0,0,0,0,0,0,0,5182,91,0,91,7,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,515,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sarasota County Lifeguards,2018,4266589,413,300,113,0,0,0,0,0,0,0,0,0,37145,6201,83,6118,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,381,5,93,3.5,35.5,29,0,13,0,0,5,7,100,14,1,0,3,0
Oceanside Lifeguards,2013,4261226,1775,0,0,0,0,0,37,0,0,0,0,0,62318,2616,224,2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29736,0,0,0,314,893,0,3.7,0,6,80,650,0,0,15,15,300,5,1,1,2,0
Palm Beach County Ocean Rescue,2015,4248717,232,149,39,44,0,0,0,0,0,22,27,0,110481,17384,107,17277,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,202,0,0,0,35,35,5100,2.12,0,59,32,80,0,0,15,20,50,4,0,0,2,0
Palm Beach County Ocean Rescue,2020,4246431,135,51,21,63,0,0,10,20,0,17,19,0,101494,12752,106,12646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31,0,0,0,12,1,4,14,0,68,42,null,0,0,18,22,0,4,0,3,2,28
Huntington Beach Marine Safety,1966,4241320,6408,0,0,0,0,0,36,0,0,0,0,0,958,2271,2271,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Fort Lauderdale Ocean Rescue,2002,4236428,309,290,19,0,0,0,0,0,0,0,0,0,15093,1407,17,1390,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,100,0,0,217,0,475,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Laguna Beach Marine Safety,2006,4235000,4087,2035,1880,0,96,0,76,0,0,0,0,0,193167,5819,335,5484,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94837,0,0,0,145,10,350,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
San Clemente Marine Safety,1975,4226590,2492,0,0,0,0,0,243,0,850000,0,0,0,12054,1964,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tucson,1993,4222000,242,0,0,0,0,0,0,0,0,0,0,0,687,412,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,82,58450,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jacksonville Beach (Former ARCVLC),2011,4200000,230,76,75,0,0,0,8,0,2500,0,0,0,7546,810,178,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1,0,0,79,149,470,4.1,0,1,79,null,0,0,12,16,200,7,1,0,0,19
Orange County Lifeguards,1989,4200000,2236,2236,0,0,0,0,2,0,0,3,0,0,18817,987,47,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5043,0,0,0,293,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Wildwood Crest Beach Patrol,1995,4200000,159,50,109,0,0,0,4,4,24000,0,0,0,5000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,1,318,10,800,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ocean City Beach Patrol - MD,1995,4193232,6906,0,0,0,0,0,0,0,0,0,0,0,132264,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,130,0,0,0,1335,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,2020,4184423,1601,0,0,0,0,0,16,0,0,0,0,0,91496,3431,455,2976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96792,0,0,0,315,400,0,3.7,0,7,85,null,0,0,16,16,300,7,1,1,5,2
Oceanside Lifeguards,2001,4183430,1617,1443,40,0,0,0,38,149,825000,0,0,0,62267,1377,54,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4402,22,7,14,323,299,3256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Fort Lauderdale Ocean Rescue,2008,4159006,105,85,20,0,0,0,0,0,0,0,0,0,27313,3494,38,3456,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,25,3000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Laguna Beach Marine Safety,2005,4150500,2506,1084,1341,5,46,2,28,0,0,0,0,0,151426,5412,204,5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96141,0,0,0,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sarasota County Lifeguards,2004,4149915,63,42,21,0,0,0,0,0,0,32,0,0,27988,4893,83,4810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9981,0,0,0,404,42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Brevard County Ocean Rescue,2016,4129060,649,518,131,0,0,0,2,4,25000,0,0,0,74087,2193,107,2086,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2000,2.77,36.74,17,100,null,0,0,25,25,0,15,0,0,3,9
Fort Lauderdale Ocean Rescue,2009,4125096,64,54,10,0,0,0,0,0,0,0,0,0,18608,3046,25,3021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,25,0,0,49,25,3000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Laguna Beach Marine Safety,2007,4122500,4194,1733,2350,0,51,0,60,0,0,0,0,0,168934,4075,213,3862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90463,0,44,0,159,10,350,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tucson,1996,4122212,617,0,0,72,0,0,0,0,0,0,0,0,1431,612,162,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184,0,16,12,76,151,40000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Brevard County Ocean Rescue,2015,4115130,591,511,80,0,0,0,4,4,0,0,0,0,136230,4473,131,4342,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,16,2500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Laguna Beach Marine Safety,2009,4099143,3051,1629,1329,0,55,0,38,76,0,0,0,0,148204,4570,167,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84183,0,0,0,267,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pinellas County Lifeguards,2008,4080414,11,0,11,0,0,0,0,0,0,2,2,20000,1133,895,56,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,35,500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sarasota County Lifeguards,2008,4073065,783,721,57,0,5,0,0,0,0,0,0,0,32938,6849,130,6719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0,0,427,12,150,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,1995,4066350,1178,1090,0,87,1,0,38,68,256000,0,0,0,71742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21214,0,124,12,342,196,8567,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
San Diego,1967,4065737,491,0,0,0,0,0,0,0,0,0,0,0,0,1075,1075,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Hollywood Ocean Lifeguards,2001,4062048,117,94,11,0,2,0,10,45,100000,15,40,150000,66573,2599,59,2540,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24567,6225,0,0,67,25,800,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,1993,4051920,1223,0,0,0,0,0,27,54,308700,0,0,0,16362,561,561,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264,21,1578,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Laguna Beach Marine Safety,2008,4050435,2227,1243,913,0,58,1,18,38,500000,0,0,0,120238,3914,152,3762,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52469,0,0,0,315,50,1500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,2011,4012800,1689,0,0,0,0,0,31,0,0,0,0,0,60112,2760,144,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20574,0,0,0,238,177,3000,3.7,0,6,75,null,0,0,16,16,300,6,1,1,2,0
Palm Beach County Ocean Rescue,2014,4007396,168,118,34,16,0,0,4,10,0,24,42,0,0,15357,100,15257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,110,2299,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Brevard County Ocean Rescue,2021,4005600,480,399,81,0,0,0,4,4,0,0,0,0,65000,4076,76,4000,8,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,6,400,2.8,33.94,18,100,null,0,0,25,25,100,9,1,4,5,12
Brevard County Ocean Rescue,2010,4005570,844,572,223,0,0,0,25,20,53000,2,2,0,138736,8272,402,7870,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,10,0,462,7,775,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Oceanside Lifeguards,1994,4000899,825,0,0,0,0,0,33,71,713800,0,0,0,117155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,103,7221,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jacksonville Beach (Former ARCVLC),2019,4000800,282,167,115,0,0,0,1,1,900,16,18,20210,16293,277,67,210,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,56,76,987,2,2.3,3,80,227,0,0,13,17,330,7,0,0,1,5
Jacksonville Beach (Former ARCVLC),2018,4000300,245,173,72,0,0,0,1,1,2300,2,3,5100,14948,245,52,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,99,1132,3,1.1,2,70,276,0,0,10,15,250,8,0,0,1,13
Galveston Island Beach Patrol,1998,4000000,191,50,130,0,0,0,0,0,0,2,8,0,0,522,18,504,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,31,12,4,266,35,5000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Galveston Island Beach Patrol,2009,4000000,78,63,15,0,0,0,3,7,0,9,18,0,42269,3318,40,3278,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,74,10,8,4,653,22,2575,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Galveston Island Beach Patrol,2005,4000000,67,50,17,0,0,0,0,0,0,0,0,0,43474,396,46,350,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,397,60,0,0,408,300,9330,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Galveston Island Beach Patrol,2003,4000000,148,100,48,0,0,0,0,0,0,0,0,0,102906,723,24,699,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,73,0,0,500,0,3921,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Galveston Island Beach Patrol,2000,4000000,137,0,0,0,0,0,0,0,0,0,0,0,66510,748,42,706,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,63,5,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Galveston Island Beach Patrol,2002,4000000,173,111,62,0,0,0,0,0,0,0,0,0,84488,1537,42,1495,7,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,51,73,8,2,439,59,4395,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jacksonville Beach (Former ARCVLC),2016,4000000,108,62,46,0,0,0,1,2,9495,3,6,18950,15782,243,15,228,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,102,94,1012,3,1.1,1,80,200,0,0,9,24,150,6,0,0,1,2
Ocean City Beach Patrol - MD,2005,4000000,4766,0,0,0,0,0,0,0,0,0,0,0,103696,1672,105,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,720,1190,35700,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ocean City Beach Patrol - MD,2000,4000000,5448,0,0,0,0,0,0,0,0,0,0,0,136426,2480,172,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jacksonville Beach (Former ARCVLC),2017,4000000,108,62,46,0,0,0,1,2,9495,3,6,18950,15782,256,90,166,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,102,94,1012,3,1.1,1,69,null,0,0,10,15,250,8,2,0,1,13
Ocean City Beach Patrol - MD,2009,4000000,3481,2800,500,181,0,0,0,0,0,0,0,0,69694,281,143,138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,13,2,699,200,20000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jacksonville Beach (Former ARCVLC),2012,4000000,289,90,10,0,0,0,0,0,0,1,2,16000,2753,522,39,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,95,26,132,4.1,0,1,79,null,0,0,12,16,200,7,2,0,0,20
Santa Rosa Island Authority,2011,4000000,231,208,23,0,0,0,0,0,0,0,0,0,19218,162,49,113,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,10,3545,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jacksonville Beach (Former ARCVLC),2014,4000000,167,85,33,0,0,0,0,0,0,0,5,7000,16390,184,49,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,2219,3,1.1,1,80,null,0,0,12,16,200,8,2,0,0,35
Jacksonville Beach (Former ARCVLC),2013,4000000,142,99,43,0,0,0,1,2,8500,0,0,0,1323,305,84,221,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0,0,0,40,89,377,3,1.1,1,80,null,0,0,12,16,200,6,2,0,0,35
North Myrtle Beach Ocean Rescue,2013,4000000,393,327,66,0,0,0,0,0,0,0,0,0,9635,4390,57,4333,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,4,150,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ocean City Beach Patrol - MD,2010,4000000,3211,2900,100,211,0,0,0,0,0,0,0,0,0,2333,233,2100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,10,0,596,170,1700,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Clearwater Beach Patrol,2012,4000000,57,15,42,0,0,0,1,1,10000,8,10,0,29282,1155,1005,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11519,313,0,0,323,4,100,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
North Myrtle Beach Ocean Rescue,2012,4000000,110,85,25,0,0,0,4,12,60000,0,0,0,2526,527,99,428,1,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,1,22,2,0,9,90,2,50,9,0,0,106,null,0,0,54,54,20,11,0,0,3,0
Galveston Island Beach Patrol,2004,4000000,76,70,6,0,0,0,0,0,0,0,0,0,78530,860,26,834,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,37,0,0,395,0,4470,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,1968,4000000,2876,0,0,0,0,0,379,0,0,0,0,0,0,2056,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
North Myrtle Beach Ocean Rescue,2017,4000000,161,81,80,0,0,0,3,7,0,0,0,0,17062,4605,34,4571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1250,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ocean City Beach Patrol - MD,2008,4000000,3753,3000,753,0,0,0,0,0,0,1,1,20000,82284,286,142,144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,15,3,563,200,20000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Clearwater Beach Patrol,2008,4000000,35,21,10,0,0,0,2,3,23500,26,57,10000,13555,1176,94,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5476,570,31,27,217,12,850,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Fort Lauderdale Ocean Rescue,2019,3991574,108,55,0,0,0,0,0,0,0,0,0,0,47269,9056,43,9013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,13,0,0,25,0,118255,0,0,45,65,225,0,0,20,20,0,0,0,0,0,0
Ocean City Beach Patrol - NJ,2004,3972400,431,150,281,0,0,0,2,6,40000,3,8,60000,100,1137,61,1076,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,285,4,200,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Maui Ocean Safety,2019,3964716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Huntington Beach Marine Safety,1965,3964693,1772,0,0,0,0,0,31,0,0,0,0,0,6278,1613,1613,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Delaware State Parks,2021,3956970,115,106,9,0,0,0,0,0,0,0,0,0,304,328,35,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,63,0,0,1.5,0,1,55,28,0,0,17,22,90,3,0,0,0,16
Laguna Beach Marine Safety,2004,3927500,2412,1217,1086,1,90,3,15,17,0,0,0,0,115110,3719,197,3522,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79565,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Maui Ocean Safety,2018,3924932,634,0,0,0,0,0,0,0,0,0,0,0,237406,1482,282,1200,21,0,0,3,0,0,0,0,18,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Coronado,2020,3922000,392,361,32,0,0,0,7,18,29000,3,5,20000,4066,1659,1607,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12646,60,6,4,46,0,0,1.75,0,7,43,0,0,0,4,6,300,5,2,2,2,0
Maui Ocean Safety,2017,3917063,393,0,0,0,0,0,0,0,0,0,0,0,228694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
